ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
 1,     6,     5,     9,     7,     0,     8,     8,     7,     9,     2,     1,     8,     3,     2,     3,     7,     8,     2,     0,     4
 2,     6,     5,    10,     6,     0,     7,     5,     4,     9,     1,     2,     7,     3,     1,     0,     5,     9,     3,     1,     3
 3,    10,     6,     8,     8,     9,     8,     7,     6,     3,     1,     1,     6,     4,     3,     3,     4,     1,     5,     5,     3
 4,     2,     8,    10,     8,     0,    10,     5,     7,     7,     1,     0,     5,     0,     3,     4,     7,     8,     4,     1,     4
 5,     5,     4,     8,     5,     9,     5,     8,     4,     4,     5,     1,     4,     6,     8,     4,     4,     8,     4,     4,     4
 6,     1,     1,     0,     9,     2,     6,     8,     5,     0,    10,     7,     3,     9,     0,     5,     6,     8,     5,     6,    10
 7,     2,     3,     1,     8,     1,     6,     6,     5,     0,     8,     8,     5,     8,     4,     6,     5,     8,     5,     3,     5
 8,     3,     1,     5,     7,     2,     5,     8,     8,     1,     9,    10,     5,     8,     1,     7,     4,     8,     7,     6,     6
 9,     3,     2,     3,    10,     5,     9,     8,     5,     0,    10,     8,     6,     6,     1,     7,     4,     9,     5,     4,     6
10,     7,     5,     9,     4,     1,     5,     6,     2,     7,     2,     1,     6,     6,     3,     2,     6,     7,     4,     0,     3
11,     7,     2,     6,     5,     5,     5,     5,     4,     5,     7,     4,     4,     2,     5,     4,     6,     5,     5,     5,     0
12,     2,     1,     1,     7,     1,     6,     9,     3,     1,    10,     8,     3,     9,     1,     6,     6,    10,     6,     6,     7
13,     6,     1,     8,     6,     6,     5,     6,     3,     7,     8,     0,     5,     3,     4,     3,     6,     7,     4,     5,     2
14,    10,     8,     7,     9,     8,     8,     9,     5,     9,     3,     3,     5,     3,     2,     2,     4,     0,     5,     4,     0
15,     6,     1,     6,     6,     6,     5,     4,     2,     4,    10,     0,     5,     5,     7,     3,     6,     5,     6,     7,     4
16,     5,     2,     8,     5,     6,     6,     8,     6,     3,     7,     2,     7,     5,     5,     7,     3,     5,     6,     4,     1
17,     4,     1,     9,     5,     3,     6,     7,     6,     1,     8,     1,     6,     2,     5,     7,     6,     8,     6,     4,     1
18,     6,     3,     5,     7,     5,     6,     7,     6,     5,     7,     3,     6,     4,     5,     2,     2,     7,     4,     4,     3
19,     9,     9,    10,     7,    10,     7,     7,     2,     5,     3,     1,     5,     4,     3,     2,     4,     0,     7,     4,     1
20,     3,     4,     0,     8,     4,     6,     7,     7,     1,    10,     8,     5,     7,     0,     7,     3,    10,     6,     7,     5
21,     2,     1,     2,     7,     3,     7,     9,     7,     0,    10,     5,     6,     7,     4,     5,     5,     7,     5,     2,     6
22,     3,     2,     2,     9,     3,     7,     7,     3,     2,     5,     8,     8,     9,     3,     9,     5,     7,     5,     5,     6
23,     2,     5,     3,     8,     1,     5,     7,     8,     1,    10,     7,     5,     6,     2,     6,     5,     8,     4,     5,     6
24,     6,     5,     6,     7,     5,     8,     6,     6,     2,     8,     1,     7,     4,     6,     4,     8,     7,     9,     7,     4
25,     4,     4,     5,     4,     6,     4,     8,     4,     3,     6,     2,     7,     2,     7,     7,     5,     8,     4,     6,     2
26,     2,     2,     1,     5,     1,     6,     7,    10,     1,     8,     8,     5,     9,     6,     5,     3,     8,     6,     5,     4
27,    10,     8,     7,     8,     9,     7,     7,     6,     5,     3,     5,     3,     5,     1,     3,     3,     2,     5,     3,     2
28,     1,     1,     3,     8,     0,     6,    10,     3,     1,     8,     8,     4,     7,     1,     4,     8,     8,     2,     6,     5
29,     8,     8,     4,     8,     9,     9,     9,     6,     5,     4,     2,     3,     4,     3,     2,     3,     1,     5,     5,     1
30,     9,     8,     8,     8,     9,     4,     8,     9,     7,     1,     1,     7,     2,     1,     2,     4,     0,     5,     3,     2
31,     2,     4,     6,     9,     5,     7,     8,     4,     6,     7,     3,     6,     7,     7,     2,     3,     7,     5,     6,     0
32,    10,     9,     8,     7,    10,     5,     8,     5,     6,     2,     3,     5,     4,     2,     1,     7,     1,     3,     5,     5
33,     1,     2,     1,    10,     3,     7,    10,     7,     0,     7,     6,     9,     9,     2,     8,     4,     9,     3,     5,     7
34,     4,     1,     6,     5,     7,     6,     5,     4,     5,     7,     3,     5,     4,     3,     2,     4,     6,     3,     6,     2
35,     1,     0,     2,     6,     2,     7,     7,     6,     2,    10,     9,     5,     7,     3,     7,     7,     9,     5,     6,     6
